Switchingtimes,FinalTime,IPTGpre,aTcpre,IPTG,aTc
0,950.0666667,1,0,0.8,20
88.58666667,950.0666667,1,0,0.25,75
118.5866667,950.0666667,1,0,0.8,20
208.5833333,950.0666667,1,0,0.25,75
238.5833333,950.0666667,1,0,0.8,20
328.5833333,950.0666667,1,0,0.25,75
358.5833333,950.0666667,1,0,0.8,20
448.5833333,950.0666667,1,0,0.25,75
478.5833333,950.0666667,1,0,0.8,20
568.5833333,950.0666667,1,0,0.25,75
598.5833333,950.0666667,1,0,0.8,20
688.5833333,950.0666667,1,0,0.25,75
718.5833333,950.0666667,1,0,0.25,20